dataset,model,layer,checkpoint,seed,gauge_seed,trial,gauge_type,condition_number,d_out,d_in,R,r,normalized_rank,alpha,spectrum,full_update_error,dense_optimal_error,sp_plus_dense_error_gap,compact_path_no_dense_intermediate,method,broadcast_error,excess_error,numerical_checks_passed
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,9,5.6250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,2.7273193603648049e-02,0.0000000000000000e+00,True,SP+ (compact QR),2.7273193603648049e-02,0.0000000000000000e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,10,6.2500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,1.8240141826399464e-02,0.0000000000000000e+00,True,RBLA prefix,5.3616823227611843e-01,5.1792809044971899e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,10,6.2500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,1.8240141826399464e-02,0.0000000000000000e+00,True,SP+ (compact QR),1.8240141826399464e-02,0.0000000000000000e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,11,6.8750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,1.2164403439644761e-02,3.4694469519536142e-18,True,RBLA prefix,5.0953240646021336e-01,4.9736800302056861e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,11,6.8750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,1.2164403439644761e-02,3.4694469519536142e-18,True,SP+ (compact QR),1.2164403439644764e-02,3.4694469519536142e-18,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,12,7.5000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,8.0602818363308300e-03,1.7347234759768071e-18,True,RBLA prefix,4.8460369179668394e-01,4.7654340996035310e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,12,7.5000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,8.0602818363308300e-03,1.7347234759768071e-18,True,SP+ (compact QR),8.0602818363308317e-03,1.7347234759768071e-18,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,13,8.1250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,5.2603979727656102e-03,2.6020852139652106e-18,True,RBLA prefix,2.0994818679417288e-01,2.0468778882140726e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,13,8.1250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,5.2603979727656102e-03,2.6020852139652106e-18,True,SP+ (compact QR),5.2603979727656076e-03,-2.6020852139652106e-18,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,14,8.7500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,3.3035516680093259e-03,3.0357660829594124e-18,True,RBLA prefix,1.6233191174342471e-01,1.5902836007541538e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,14,8.7500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,3.3035516680093259e-03,3.0357660829594124e-18,True,SP+ (compact QR),3.3035516680093228e-03,-3.0357660829594124e-18,True
