rank,linear_layers_replaced,embedding_layers_replaced,total_layers_replaced,base_parameters,lora_parameters,total_parameters,base_weight_size_mb_fp32,lora_adapter_size_mb_fp32,total_weight_size_mb_fp32,trainable_parameters_lora_only,increase_vs_rank_1,lora_percent_of_total
52,146,3,149,355361794,25963288,381325082,1421.447176,103.853152,1525.300328,25963288,25463994,6.808702
53,146,3,149,355361794,26462582,381824376,1421.447176,105.850328,1527.297504,26462582,25963288,6.930564
54,146,3,149,355361794,26961876,382323670,1421.447176,107.847504,1529.29468,26961876,26462582,7.052107
55,146,3,149,355361794,27461170,382822964,1421.447176,109.84468,1531.291856,27461170,26961876,7.173334
56,146,3,149,355361794,27960464,383322258,1421.447176,111.841856,1533.289032,27960464,27461170,7.294245
57,146,3,149,355361794,28459758,383821552,1421.447176,113.839032,1535.286208,28459758,27960464,7.414841
58,146,3,149,355361794,28959052,384320846,1421.447176,115.836208,1537.283384,28959052,28459758,7.535124
59,146,3,149,355361794,29458346,384820140,1421.447176,117.833384,1539.28056,29458346,28959052,7.655095
60,146,3,149,355361794,29957640,385319434,1421.447176,119.83056,1541.277736,29957640,29458346,7.774754
61,146,3,149,355361794,30456934,385818728,1421.447176,121.827736,1543.274912,30456934,29957640,7.894105
62,146,3,149,355361794,30956228,386318022,1421.447176,123.824912,1545.272088,30956228,30456934,8.013146
63,146,3,149,355361794,31455522,386817316,1421.447176,125.822088,1547.269264,31455522,30956228,8.131881
64,146,3,149,355361794,31954816,387316610,1421.447176,127.819264,1549.26644,31954816,31455522,8.250309
65,146,3,149,355361794,32454110,387815904,1421.447176,129.81644,1551.263616,32454110,31954816,8.368432
66,146,3,149,355361794,32953404,388315198,1421.447176,131.813616,1553.260792,32953404,32454110,8.486251
67,146,3,149,355361794,33452698,388814492,1421.447176,133.810792,1555.257968,33452698,32953404,8.603768
68,146,3,149,355361794,33951992,389313786,1421.447176,135.807968,1557.255144,33951992,33452698,8.720984
69,146,3,149,355361794,34451286,389813080,1421.447176,137.805144,1559.25232,34451286,33951992,8.837899
70,146,3,149,355361794,34950580,390312374,1421.447176,139.80232,1561.249496,34950580,34451286,8.954515
71,146,3,149,355361794,35449874,390811668,1421.447176,141.799496,1563.246672,35449874,34950580,9.070833
72,146,3,149,355361794,35949168,391310962,1421.447176,143.796672,1565.243848,35949168,35449874,9.186854
73,146,3,149,355361794,36448462,391810256,1421.447176,145.793848,1567.241024,36448462,35949168,9.30258
74,146,3,149,355361794,36947756,392309550,1421.447176,147.791024,1569.2382,36947756,36448462,9.418011
75,146,3,149,355361794,37447050,392808844,1421.447176,149.7882,1571.235376,37447050,36947756,9.533148
76,146,3,149,355361794,37946344,393308138,1421.447176,151.785376,1573.232552,37946344,37447050,9.647994
77,146,3,149,355361794,38445638,393807432,1421.447176,153.782552,1575.229728,38445638,37946344,9.762548
78,146,3,149,355361794,38944932,394306726,1421.447176,155.779728,1577.226904,38944932,38445638,9.876811
79,146,3,149,355361794,39444226,394806020,1421.447176,157.776904,1579.22408,39444226,38944932,9.990786
80,146,3,149,355361794,39943520,395305314,1421.447176,159.77408,1581.221256,39943520,39444226,10.104473
81,146,3,149,355361794,40442814,395804608,1421.447176,161.771256,1583.218432,40442814,39943520,10.217873
82,146,3,149,355361794,40942108,396303902,1421.447176,163.768432,1585.215608,40942108,40442814,10.330988
83,146,3,149,355361794,41441402,396803196,1421.447176,165.765608,1587.212784,41441402,40942108,10.443818
84,146,3,149,355361794,41940696,397302490,1421.447176,167.762784,1589.20996,41940696,41441402,10.556364
