"category","dataset","distribution","rank_distribution","method","source_file","archive_relative_path","sha256","copy_verified"
"dirichlet_main","kmnist","alpha_0_1","mismatch","sp","kmnist_dirichlet_0_1_rank_mismatch_sp_-train-20260731_221448-c1ebcc6fa4a07fc5.csv","01_dirichlet_main\alpha_0_1\kmnist\mismatch\kmnist_dirichlet_0_1_rank_mismatch_sp_-train-20260731_221448-c1ebcc6fa4a07fc5.csv","3FC63A91FD2EF85BCB4415B3DFACC74D01D5A2645A65A7CF9DBA1C3E7BB0DB34","True"
"dirichlet_main","kmnist","alpha_0_1","mismatch","zeropadding","kmnist_dirichlet_0_1_rank_mismatch_zeropadding_-train-20260731_223617-fbfe0b9501c6b45b.csv","01_dirichlet_main\alpha_0_1\kmnist\mismatch\kmnist_dirichlet_0_1_rank_mismatch_zeropadding_-train-20260731_223617-fbfe0b9501c6b45b.csv","2DC9F2C540A9EEF31BC1DE11701ACC2F02DB668716D7554246D50B73988F1AAA","True"
"dirichlet_main","mnist","alpha_0_1","correct","rbla","mnist_dirichlet_0_1_rank_correct_rbla_-train-20260731_054603-9a783727dc9a3935.csv","01_dirichlet_main\alpha_0_1\mnist\correct\mnist_dirichlet_0_1_rank_correct_rbla_-train-20260731_054603-9a783727dc9a3935.csv","1D917714941EA238A66F1B7696EED64170742AE8A64BC028460BF019755393EE","True"
"dirichlet_main","mnist","alpha_0_1","correct","rbla_plus","mnist_dirichlet_0_1_rank_correct_rbla_plus_-train-20260731_060739-f6919b90354da1ca.csv","01_dirichlet_main\alpha_0_1\mnist\correct\mnist_dirichlet_0_1_rank_correct_rbla_plus_-train-20260731_060739-f6919b90354da1ca.csv","2FEC0D86DA23585421D07D4DF4C6B4C048EFDBC26D5A45518B999C99F5D10DC1","True"
"dirichlet_main","mnist","alpha_0_1","correct","sp","mnist_dirichlet_0_1_rank_correct_sp_-train-20260731_062922-83485dfc4f844e91.csv","01_dirichlet_main\alpha_0_1\mnist\correct\mnist_dirichlet_0_1_rank_correct_sp_-train-20260731_062922-83485dfc4f844e91.csv","777E893BE9E2594BE493E55F206DDF6235E089951BFFB472E79C9CBFC6BD2D9F","True"
"dirichlet_main","mnist","alpha_0_1","correct","zeropadding","mnist_dirichlet_0_1_rank_correct_zeropadding_-train-20260731_065102-f2219a327606cd97.csv","01_dirichlet_main\alpha_0_1\mnist\correct\mnist_dirichlet_0_1_rank_correct_zeropadding_-train-20260731_065102-f2219a327606cd97.csv","C0D4ADE4595CA9A1955BB01BDD5D7DE81025540BE65CE5ACC70D113E871F7368","True"
"dirichlet_main","mnist","alpha_0_1","medium","rbla","mnist_dirichlet_0_1_rank_medium_rbla_-train-20260731_142154-1b5ca45c682486f5.csv","01_dirichlet_main\alpha_0_1\mnist\medium\mnist_dirichlet_0_1_rank_medium_rbla_-train-20260731_142154-1b5ca45c682486f5.csv","87D80C5E1C5C847A5A436D809B619815F9EFE6E4AD18B836BEE6643D2EFE30F0","True"
"dirichlet_main","mnist","alpha_0_1","medium","rbla_plus","mnist_dirichlet_0_1_rank_medium_rbla_plus_-train-20260731_144329-6c8d9549b2326970.csv","01_dirichlet_main\alpha_0_1\mnist\medium\mnist_dirichlet_0_1_rank_medium_rbla_plus_-train-20260731_144329-6c8d9549b2326970.csv","F9AABA3AAE4C01AE2B3F7B793BDB11E31305863BE89E818637D1E3EDE6E7AFFE","True"
"dirichlet_main","mnist","alpha_0_1","medium","sp","mnist_dirichlet_0_1_rank_medium_sp_-train-20260731_150503-30368adcdc6d7b0f.csv","01_dirichlet_main\alpha_0_1\mnist\medium\mnist_dirichlet_0_1_rank_medium_sp_-train-20260731_150503-30368adcdc6d7b0f.csv","5DF9A01AAC392198A8C253D954669317072952B611162AC6EC599D139B620B72","True"
"dirichlet_main","mnist","alpha_0_1","medium","zeropadding","mnist_dirichlet_0_1_rank_medium_zeropadding_-train-20260731_152637-1b01ce4536ea7de9.csv","01_dirichlet_main\alpha_0_1\mnist\medium\mnist_dirichlet_0_1_rank_medium_zeropadding_-train-20260731_152637-1b01ce4536ea7de9.csv","6552CBE80DE9F6AB8BC6C54E03DEA3E7F72FE14EF97DBB5124996C11E846F46A","True"
"dirichlet_main","mnist","alpha_0_1","mismatch","rbla","mnist_dirichlet_0_1_rank_mismatch_rbla_-train-20260731_225745-0d21d6ca59ad142b.csv","01_dirichlet_main\alpha_0_1\mnist\mismatch\mnist_dirichlet_0_1_rank_mismatch_rbla_-train-20260731_225745-0d21d6ca59ad142b.csv","2B97A0632602D9EB47D29B9C1A68EB49A3ED63F9BC3183EFA0220115AFE3F73A","True"
"dirichlet_main","mnist","alpha_0_1","mismatch","rbla_plus","mnist_dirichlet_0_1_rank_mismatch_rbla_plus_-train-20260731_231920-1e8541e97e8aa583.csv","01_dirichlet_main\alpha_0_1\mnist\mismatch\mnist_dirichlet_0_1_rank_mismatch_rbla_plus_-train-20260731_231920-1e8541e97e8aa583.csv","424781E062AFB50BB8E8F79FF8F6B7F970B036F07AA786F74C418D94AA88E7FD","True"
"dirichlet_main","mnist","alpha_0_1","mismatch","sp","mnist_dirichlet_0_1_rank_mismatch_sp_-train-20260731_234059-7801f375a7ee3067.csv","01_dirichlet_main\alpha_0_1\mnist\mismatch\mnist_dirichlet_0_1_rank_mismatch_sp_-train-20260731_234059-7801f375a7ee3067.csv","2C64B872DD6EC4EEC2145CA2B8271A429495599D71644AFDBB86351ADA79C93E","True"
"dirichlet_main","mnist","alpha_0_1","mismatch","zeropadding","mnist_dirichlet_0_1_rank_mismatch_zeropadding_-train-20260801_000232-235db3e8a184ecb0.csv","01_dirichlet_main\alpha_0_1\mnist\mismatch\mnist_dirichlet_0_1_rank_mismatch_zeropadding_-train-20260801_000232-235db3e8a184ecb0.csv","87E2FFF5CC8F19937B1C65B395EDAA49B6DAEB52996C7F3554520DC71E46124E","True"
"dirichlet_main","fmnist","alpha_0_4","correct","rbla","fmnist_dirichlet_0_4_rank_correct_rbla_-train-20260728_195440-dba41484f75bb33a.csv","01_dirichlet_main\alpha_0_4\fmnist\correct\fmnist_dirichlet_0_4_rank_correct_rbla_-train-20260728_195440-dba41484f75bb33a.csv","A902C65E14706C3FE0A8ADC59E2CE79A9FA60E939EDF625997E6AA454614C1BD","True"
"dirichlet_main","fmnist","alpha_0_4","correct","rbla_plus","fmnist_dirichlet_0_4_rank_correct_rbla_plus_-train-20260728_201604-dcce162b799e0a94.csv","01_dirichlet_main\alpha_0_4\fmnist\correct\fmnist_dirichlet_0_4_rank_correct_rbla_plus_-train-20260728_201604-dcce162b799e0a94.csv","1E9C263857D7F5EF56FD7FFE366890A6465656E9387F34492F23EA5742C833F5","True"
"dirichlet_main","fmnist","alpha_0_4","correct","sp","fmnist_dirichlet_0_4_rank_correct_sp_-train-20260728_203729-9168c065d92990e9.csv","01_dirichlet_main\alpha_0_4\fmnist\correct\fmnist_dirichlet_0_4_rank_correct_sp_-train-20260728_203729-9168c065d92990e9.csv","E6252F13E15335EF7A79A033AF842992910B4568FA441857C9A9D0746C05FCFD","True"
"dirichlet_main","fmnist","alpha_0_4","correct","zeropadding","fmnist_dirichlet_0_4_rank_correct_zeropadding_-train-20260728_205859-1f8481c04a4cb8be.csv","01_dirichlet_main\alpha_0_4\fmnist\correct\fmnist_dirichlet_0_4_rank_correct_zeropadding_-train-20260728_205859-1f8481c04a4cb8be.csv","272690CD412B7FD8080477ACE4AFA1EB43570B7AE47357F14C966989DB9A309A","True"
"dirichlet_main","fmnist","alpha_0_4","medium","rbla","fmnist_dirichlet_0_4_rank_medium_rbla_-train-20260729_022605-46c7355da9b1552f.csv","01_dirichlet_main\alpha_0_4\fmnist\medium\fmnist_dirichlet_0_4_rank_medium_rbla_-train-20260729_022605-46c7355da9b1552f.csv","F0895BE073E4078F428C95286988141375F629FCFC39D1D5688CF9B890764151","True"
"dirichlet_main","fmnist","alpha_0_4","medium","rbla_plus","fmnist_dirichlet_0_4_rank_medium_rbla_plus_-train-20260729_024727-35fb66240103a9d5.csv","01_dirichlet_main\alpha_0_4\fmnist\medium\fmnist_dirichlet_0_4_rank_medium_rbla_plus_-train-20260729_024727-35fb66240103a9d5.csv","C0210C1AEBE019463EEE1A142A872DBB359BDF4B62B30CEDC8F83F854608CB17","True"
"dirichlet_main","fmnist","alpha_0_4","medium","sp","fmnist_dirichlet_0_4_rank_medium_sp_-train-20260729_030851-ceb476cbb6388515.csv","01_dirichlet_main\alpha_0_4\fmnist\medium\fmnist_dirichlet_0_4_rank_medium_sp_-train-20260729_030851-ceb476cbb6388515.csv","237A868FAB31FB4D81156A1BD03375310ADC397C993430E84CE9B8890AFF22B0","True"
"dirichlet_main","fmnist","alpha_0_4","medium","zeropadding","fmnist_dirichlet_0_4_rank_medium_zeropadding_-train-20260729_033008-81b31490ce19dbc1.csv","01_dirichlet_main\alpha_0_4\fmnist\medium\fmnist_dirichlet_0_4_rank_medium_zeropadding_-train-20260729_033008-81b31490ce19dbc1.csv","8D48B7A0E7AFB0FE90C64AE05223DFA6BF36B839104D4BA3BFF69E08819312DC","True"
"dirichlet_main","fmnist","alpha_0_4","mismatch","rbla","fmnist_dirichlet_0_4_rank_mismatch_rbla_-train-20260728_132259-db7c064e17c7f8f9.csv","01_dirichlet_main\alpha_0_4\fmnist\mismatch\fmnist_dirichlet_0_4_rank_mismatch_rbla_-train-20260728_132259-db7c064e17c7f8f9.csv","8E7BF3FF4E89406F414FF1C72BA24FF6E9F0A90E20D8735250664086845ED8DC","True"
"dirichlet_main","fmnist","alpha_0_4","mismatch","rbla_plus","fmnist_dirichlet_0_4_rank_mismatch_rbla_plus_-train-20260728_134422-4b288fc9225d6679.csv","01_dirichlet_main\alpha_0_4\fmnist\mismatch\fmnist_dirichlet_0_4_rank_mismatch_rbla_plus_-train-20260728_134422-4b288fc9225d6679.csv","661A424C44CB523FF4516217077D08ABAE2B44AE0BB32973087B70C022325C91","True"
"dirichlet_main","fmnist","alpha_0_4","mismatch","sp","fmnist_dirichlet_0_4_rank_mismatch_sp_-train-20260728_140545-06b012041c9bccd6.csv","01_dirichlet_main\alpha_0_4\fmnist\mismatch\fmnist_dirichlet_0_4_rank_mismatch_sp_-train-20260728_140545-06b012041c9bccd6.csv","B62539210442B167B9A743DB2CE6E2C1467F3BE05E309C5BE936D1351548F5F4","True"
"dirichlet_main","fmnist","alpha_0_4","mismatch","zeropadding","fmnist_dirichlet_0_4_rank_mismatch_zeropadding_-train-20260728_142708-b90ac94eedf656c1.csv","01_dirichlet_main\alpha_0_4\fmnist\mismatch\fmnist_dirichlet_0_4_rank_mismatch_zeropadding_-train-20260728_142708-b90ac94eedf656c1.csv","BA7B1BD7A9FCDA62268EEC1B048E43521E145694C321CC9E122DE842DD3C981B","True"
"dirichlet_main","kmnist","alpha_0_4","correct","rbla","kmnist_dirichlet_0_4_rank_correct_rbla_-train-20260728_182902-d55ccf397571ac9b.csv","01_dirichlet_main\alpha_0_4\kmnist\correct\kmnist_dirichlet_0_4_rank_correct_rbla_-train-20260728_182902-d55ccf397571ac9b.csv","FA890D5C3925F42C2CCB3AD09E98E6A6FF36415B650B0E36DC908F5C6445CAC1","True"
"dirichlet_main","kmnist","alpha_0_4","correct","rbla_plus","kmnist_dirichlet_0_4_rank_correct_rbla_plus_-train-20260728_185022-593894121cc6af9d.csv","01_dirichlet_main\alpha_0_4\kmnist\correct\kmnist_dirichlet_0_4_rank_correct_rbla_plus_-train-20260728_185022-593894121cc6af9d.csv","E1BBBBB4C944490F14B71E61A8E92F46A6A53F6E13FD9685228659973F27B684","True"
