round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
67,0.9595000147819519,0.5674410462379456,10,0.01,10,1
68,0.9589999914169312,0.5625117421150208,10,0.01,10,1
69,0.9596999883651733,0.556631863117218,10,0.01,10,1
70,0.9596999883651733,0.5519886612892151,10,0.01,10,1
71,0.9599999785423279,0.5464101433753967,10,0.01,10,1
72,0.960099995136261,0.5419821739196777,10,0.01,10,1
73,0.9603000283241272,0.5367653369903564,10,0.01,10,1
74,0.9602000117301941,0.53246009349823,10,0.01,10,1
75,0.9606999754905701,0.5276066064834595,10,0.01,10,1
76,0.9605000019073486,0.5235155820846558,10,0.01,10,1
77,0.9609000086784363,0.5189076066017151,10,0.01,10,1
78,0.9605000019073486,0.5150255560874939,10,0.01,10,1
79,0.9606999754905701,0.510606586933136,10,0.01,10,1
80,0.9605000019073486,0.5070173144340515,10,0.01,10,1
81,0.9610000252723694,0.5027828812599182,10,0.01,10,1
82,0.9606000185012817,0.49932003021240234,10,0.01,10,1
83,0.9610000252723694,0.49530860781669617,10,0.01,10,1
84,0.9607999920845032,0.4920122027397156,10,0.01,10,1
85,0.9614999890327454,0.4882504940032959,10,0.01,10,1
86,0.9613000154495239,0.48502621054649353,10,0.01,10,1
87,0.9617000222206116,0.4813769459724426,10,0.01,10,1
88,0.9617999792098999,0.4783458113670349,10,0.01,10,1
89,0.9617999792098999,0.4748985767364502,10,0.01,10,1
90,0.961899995803833,0.47200337052345276,10,0.01,10,1
91,0.9624999761581421,0.46864622831344604,10,0.01,10,1
92,0.9624000191688538,0.4658563435077667,10,0.01,10,1
93,0.9627000093460083,0.4626743197441101,10,0.01,10,1
94,0.9625999927520752,0.4600316882133484,10,0.01,10,1
95,0.9631999731063843,0.45692670345306396,10,0.01,10,1
96,0.9629999995231628,0.45436832308769226,10,0.01,10,1
97,0.9635000228881836,0.45135849714279175,10,0.01,10,1
98,0.9634000062942505,0.4490251839160919,10,0.01,10,1
99,0.9635999798774719,0.44601577520370483,10,0.01,10,1
