round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
84,0.5396999716758728,1.6370705366134644,10,0.0001,10,1
85,0.5358999967575073,1.6892775297164917,10,0.0001,10,1
86,0.5422000288963318,1.6442941427230835,10,0.0001,10,1
87,0.5461000204086304,1.644226312637329,10,0.0001,10,1
88,0.5425999760627747,1.686341643333435,10,0.0001,10,1
89,0.5454999804496765,1.6576573848724365,10,0.0001,10,1
90,0.5442000031471252,1.7041468620300293,10,0.0001,10,1
91,0.5418000221252441,1.724849820137024,10,0.0001,10,1
92,0.5418999791145325,1.728515625,10,0.0001,10,1
93,0.5414999723434448,1.7284613847732544,10,0.0001,10,1
94,0.539900004863739,1.7372493743896484,10,0.0001,10,1
95,0.5446000099182129,1.6875957250595093,10,0.0001,10,1
96,0.5376999974250793,1.7567658424377441,10,0.0001,10,1
97,0.5349000096321106,1.7420495748519897,10,0.0001,10,1
98,0.5370000004768372,1.7924354076385498,10,0.0001,10,1
99,0.5428000092506409,1.707358956336975,10,0.0001,10,1
100,0.5386000275611877,1.758771300315857,10,0.0001,10,1
101,0.541100025177002,1.7162435054779053,10,0.0001,10,1
102,0.5371000170707703,1.7888875007629395,10,0.0001,10,1
103,0.531499981880188,1.8110566139221191,10,0.0001,10,1
104,0.5443000197410583,1.746003270149231,10,0.0001,10,1
105,0.5412999987602234,1.749273419380188,10,0.0001,10,1
106,0.5368000268936157,1.7813525199890137,10,0.0001,10,1
107,0.5285999774932861,1.8410038948059082,10,0.0001,10,1
108,0.5376999974250793,1.8014761209487915,10,0.0001,10,1
109,0.5378999710083008,1.8053932189941406,10,0.0001,10,1
110,0.5378000140190125,1.8100273609161377,10,0.0001,10,1
111,0.5437999963760376,1.8259806632995605,10,0.0001,10,1
112,0.5378000140190125,1.8482365608215332,10,0.0001,10,1
113,0.5329999923706055,1.9011943340301514,10,0.0001,10,1
114,0.5388000011444092,1.837694764137268,10,0.0001,10,1
115,0.5374000072479248,1.85409414768219,10,0.0001,10,1
116,0.5315999984741211,1.944748878479004,10,0.0001,10,1
117,0.5360000133514404,1.9097070693969727,10,0.0001,10,1
118,0.5410000085830688,1.8177536725997925,10,0.0001,10,1
119,0.5436999797821045,1.818913459777832,10,0.0001,10,1
120,0.5389000177383423,1.9057109355926514,10,0.0001,10,1
121,0.5396000146865845,1.8352653980255127,10,0.0001,10,1
122,0.5386999845504761,1.8625729084014893,10,0.0001,10,1
123,0.5335000157356262,1.9277726411819458,10,0.0001,10,1
124,0.5383999943733215,1.9036672115325928,10,0.0001,10,1
125,0.5408999919891357,1.8626916408538818,10,0.0001,10,1
126,0.5425000190734863,1.8403292894363403,10,0.0001,10,1
127,0.5428000092506409,1.8498667478561401,10,0.0001,10,1
128,0.5436999797821045,1.8463248014450073,10,0.0001,10,1
129,0.5378000140190125,1.86160409450531,10,0.0001,10,1
130,0.5388000011444092,1.8926615715026855,10,0.0001,10,1
131,0.5439000129699707,1.86567223072052,10,0.0001,10,1
132,0.5351999998092651,1.898689866065979,10,0.0001,10,1
133,0.5386999845504761,1.91362464427948,10,0.0001,10,1
134,0.541100025177002,1.8892347812652588,10,0.0001,10,1
135,0.5411999821662903,1.8924345970153809,10,0.0001,10,1
136,0.5394999980926514,1.8942687511444092,10,0.0001,10,1
137,0.5425000190734863,1.8952828645706177,10,0.0001,10,1
138,0.5371000170707703,1.9673199653625488,10,0.0001,10,1
