round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
41,0.9283999800682068,0.23751740157604218,10,0.01,10,1
42,0.9283000230789185,0.23567070066928864,10,0.01,10,1
43,0.9286999702453613,0.2345893383026123,10,0.01,10,1
44,0.9297000169754028,0.23375295102596283,10,0.01,10,1
45,0.9297000169754028,0.23291015625,10,0.01,10,1
46,0.9301000237464905,0.23207566142082214,10,0.01,10,1
47,0.9311000108718872,0.23141314089298248,10,0.01,10,1
48,0.9318000078201294,0.23026825487613678,10,0.01,10,1
49,0.9330000281333923,0.22988486289978027,10,0.01,10,1
50,0.9330000281333923,0.2293683886528015,10,0.01,10,1
51,0.9336000084877014,0.22899316251277924,10,0.01,10,1
52,0.9340999722480774,0.2288060039281845,10,0.01,10,1
53,0.9340999722480774,0.22877150774002075,10,0.01,10,1
54,0.9345999956130981,0.2288886159658432,10,0.01,10,1
55,0.9345999956130981,0.229141503572464,10,0.01,10,1
56,0.9351999759674072,0.22919704020023346,10,0.01,10,1
57,0.9352999925613403,0.2295154482126236,10,0.01,10,1
58,0.9354000091552734,0.23038168251514435,10,0.01,10,1
59,0.9358000159263611,0.23052549362182617,10,0.01,10,1
60,0.9362000226974487,0.23087462782859802,10,0.01,10,1
61,0.9366999864578247,0.23108987510204315,10,0.01,10,1
62,0.9372000098228455,0.2313350886106491,10,0.01,10,1
63,0.9373999834060669,0.23182709515094757,10,0.01,10,1
64,0.9372000098228455,0.23250412940979004,10,0.01,10,1
65,0.9373000264167786,0.23295100033283234,10,0.01,10,1
66,0.9375,0.2335437685251236,10,0.01,10,1
67,0.9380000233650208,0.23398937284946442,10,0.01,10,1
68,0.9381999969482422,0.23438666760921478,10,0.01,10,1
69,0.9388999938964844,0.2347673773765564,10,0.01,10,1
70,0.9390000104904175,0.2357076108455658,10,0.01,10,1
71,0.939300000667572,0.23615358769893646,10,0.01,10,1
72,0.939300000667572,0.23672041296958923,10,0.01,10,1
73,0.9391999840736389,0.23693087697029114,10,0.01,10,1
74,0.939300000667572,0.23772519826889038,10,0.01,10,1
75,0.9395999908447266,0.23767124116420746,10,0.01,10,1
76,0.9398000240325928,0.23815405368804932,10,0.01,10,1
77,0.9404000043869019,0.23826032876968384,10,0.01,10,1
78,0.9409999847412109,0.23844270408153534,10,0.01,10,1
79,0.9409000277519226,0.23866964876651764,10,0.01,10,1
80,0.9412999749183655,0.238730788230896,10,0.01,10,1
81,0.9419000148773193,0.23936262726783752,10,0.01,10,1
82,0.942300021648407,0.23959548771381378,10,0.01,10,1
83,0.9427000284194946,0.23959819972515106,10,0.01,10,1
84,0.9427000284194946,0.2395981401205063,10,0.01,10,1
85,0.9429000020027161,0.24016094207763672,10,0.01,10,1
86,0.9433000087738037,0.2403404712677002,10,0.01,10,1
87,0.9435999989509583,0.24035429954528809,10,0.01,10,1
88,0.9437000155448914,0.2403237372636795,10,0.01,10,1
89,0.9437000155448914,0.24045059084892273,10,0.01,10,1
