round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
92,0.4498888850212097,1.7343461513519287,10,0.0001,10,1
93,0.4497777819633484,1.7536793947219849,10,0.0001,10,1
94,0.4543111026287079,1.7356154918670654,10,0.0001,10,1
95,0.45001110434532166,1.752871036529541,10,0.0001,10,1
96,0.4511222243309021,1.7356477975845337,10,0.0001,10,1
97,0.44714444875717163,1.768613338470459,10,0.0001,10,1
98,0.4481666684150696,1.7524458169937134,10,0.0001,10,1
99,0.4480111002922058,1.7624149322509766,10,0.0001,10,1
100,0.44582220911979675,1.7750675678253174,10,0.0001,10,1
101,0.4504333436489105,1.7583184242248535,10,0.0001,10,1
102,0.4498666524887085,1.7649486064910889,10,0.0001,10,1
103,0.44786667823791504,1.7703819274902344,10,0.0001,10,1
104,0.44805556535720825,1.7827587127685547,10,0.0001,10,1
105,0.44682222604751587,1.7815905809402466,10,0.0001,10,1
106,0.4497666656970978,1.7827200889587402,10,0.0001,10,1
107,0.4474666714668274,1.8004050254821777,10,0.0001,10,1
108,0.44921112060546875,1.783973217010498,10,0.0001,10,1
109,0.44874444603919983,1.7835187911987305,10,0.0001,10,1
110,0.44796666502952576,1.7947685718536377,10,0.0001,10,1
111,0.4451333284378052,1.8040255308151245,10,0.0001,10,1
112,0.44909998774528503,1.789406418800354,10,0.0001,10,1
113,0.4465666711330414,1.7874819040298462,10,0.0001,10,1
114,0.4449000060558319,1.8096331357955933,10,0.0001,10,1
115,0.4464777708053589,1.8071833848953247,10,0.0001,10,1
116,0.44306665658950806,1.818193793296814,10,0.0001,10,1
117,0.44412222504615784,1.816927433013916,10,0.0001,10,1
118,0.447477787733078,1.8231781721115112,10,0.0001,10,1
119,0.4462222158908844,1.827675700187683,10,0.0001,10,1
120,0.445333331823349,1.823293924331665,10,0.0001,10,1
121,0.4477222263813019,1.800492763519287,10,0.0001,10,1
122,0.4467555582523346,1.8157721757888794,10,0.0001,10,1
123,0.44593334197998047,1.8261301517486572,10,0.0001,10,1
124,0.44447776675224304,1.8308641910552979,10,0.0001,10,1
125,0.4494555592536926,1.8049225807189941,10,0.0001,10,1
126,0.4455888867378235,1.8610727787017822,10,0.0001,10,1
127,0.45007777214050293,1.8210762739181519,10,0.0001,10,1
128,0.4450555443763733,1.8506864309310913,10,0.0001,10,1
129,0.4458000063896179,1.8561606407165527,10,0.0001,10,1
130,0.44679999351501465,1.8288028240203857,10,0.0001,10,1
131,0.44707778096199036,1.8185964822769165,10,0.0001,10,1
132,0.4459444582462311,1.837857961654663,10,0.0001,10,1
133,0.4431777894496918,1.8426905870437622,10,0.0001,10,1
134,0.4478222131729126,1.8378525972366333,10,0.0001,10,1
135,0.4443444311618805,1.8627794981002808,10,0.0001,10,1
136,0.4452555477619171,1.8773860931396484,10,0.0001,10,1
137,0.4456999897956848,1.8584345579147339,10,0.0001,10,1
138,0.44510000944137573,1.8662238121032715,10,0.0001,10,1
139,0.4461222290992737,1.8652043342590332,10,0.0001,10,1
140,0.44278889894485474,1.8666201829910278,10,0.0001,10,1
141,0.4458666741847992,1.8414511680603027,10,0.0001,10,1
142,0.44787776470184326,1.8577529191970825,10,0.0001,10,1
143,0.448711097240448,1.8594396114349365,10,0.0001,10,1
144,0.4475666582584381,1.858288049697876,10,0.0001,10,1
145,0.4433555603027344,1.8690465688705444,10,0.0001,10,1
146,0.44885554909706116,1.8630149364471436,10,0.0001,10,1
