condition,alpha,rho,round,rank_ratio,client_index,weight,raw_residual,optimal_residual,spmi_abs,spmi_rel,layer_ranks,raw_loss,raw_accuracy,plus_loss,plus_accuracy
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,0.9,0,0.11116666666666666,0.00028840141683394,3.037314639874272e-09,0.044623562285374174,0.9999894684475783,"{""_fc1.lora_A"": 144, ""_fc2.lora_A"": 144, ""_fc3.lora_A"": 10}",2.2699664611816406,0.1695,2.2699539489746092,0.1695
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,1.0,1,0.12138333333333333,0.0,0.0,0.0,0.0,"{""_fc1.lora_A"": 160, ""_fc2.lora_A"": 160, ""_fc3.lora_A"": 10}",2.2699676361083982,0.1695,2.2699676361083982,0.1695
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,0.6,2,0.06723333333333334,0.0007526230086640494,1.0939366114870648e-07,0.11643559934575429,0.9998546501237813,"{""_fc1.lora_A"": 96, ""_fc2.lora_A"": 96, ""_fc3.lora_A"": 10}",2.269953338623047,0.1695,2.2698846130371093,0.17
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,0.3,3,0.1356,0.0012824826988086027,1.6347993151003177e-06,0.19818417883070663,0.9987252854821207,"{""_fc1.lora_A"": 48, ""_fc2.lora_A"": 48, ""_fc3.lora_A"": 10}",2.2699298095703124,0.1695,2.2696773529052736,0.1705
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,0.4,4,0.09725,0.0010521593635024105,6.459295894284226e-07,0.16269951062253976,0.9993860914878158,"{""_fc1.lora_A"": 64, ""_fc2.lora_A"": 64, ""_fc3.lora_A"": 10}",2.26993701171875,0.1695,2.2697808074951173,0.17
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,0.2,5,0.056216666666666665,0.001566718674202586,4.596552464475578e-06,0.24170542814050894,0.9970661277355265,"{""_fc1.lora_A"": 32, ""_fc2.lora_A"": 32, ""_fc3.lora_A"": 10}",2.2699192810058593,0.1695,2.269470672607422,0.1725
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,0.1,6,0.0609,0.0018945257719718558,1.8300601476831406e-05,0.29030624546684924,0.9903402731450922,"{""_fc1.lora_A"": 16, ""_fc2.lora_A"": 16, ""_fc3.lora_A"": 10}",2.2699227447509767,0.1695,2.268856964111328,0.175
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,0.8,7,0.0881,0.0004484256523193249,1.3605248502993494e-08,0.06938230008548944,0.9999696599683078,"{""_fc1.lora_A"": 128, ""_fc2.lora_A"": 128, ""_fc3.lora_A"": 10}",2.269962097167969,0.1695,2.2699364929199217,0.1695
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,0.7,8,0.15123333333333333,0.0006133350126661287,4.142057279923902e-08,0.09489423918266529,0.9999324666423017,"{""_fc1.lora_A"": 112, ""_fc2.lora_A"": 112, ""_fc3.lora_A"": 10}",2.2699579772949217,0.1695,2.2699142608642577,0.17
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,0.5,9,0.11091666666666666,0.0009160582629964105,2.6502765363216106e-07,0.1416996744085657,0.999710686902419,"{""_fc1.lora_A"": 80, ""_fc2.lora_A"": 80, ""_fc3.lora_A"": 10}",2.2699483337402344,0.1695,2.2698430480957033,0.17
