round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round,selected_clients,metric_weights
42,0.4189000129699707,2.3675827980041504,2,0.01,2,2,"[8, 5]"
43,0.4059000015258789,2.5877108573913574,2,0.01,2,2,"[8, 5]"
44,0.42170000076293945,2.3233072757720947,2,0.01,2,2,"[8, 5]"
45,0.4083000123500824,2.5445127487182617,2,0.01,2,2,"[8, 5]"
46,0.42800000309944153,2.2718169689178467,2,0.01,2,2,"[8, 5]"
47,0.41190001368522644,2.4909350872039795,2,0.01,2,2,"[8, 5]"
48,0.45809999108314514,2.0966691970825195,2,0.01,2,2,"[8, 3]"
49,0.39559999108314514,2.582815170288086,2,0.01,2,2,"[8, 3]"
50,0.44429999589920044,2.0827603340148926,2,0.01,2,2,"[8, 5]"
51,0.4284999966621399,2.314368724822998,2,0.01,2,2,"[8, 5]"
52,0.48249998688697815,1.9289672374725342,2,0.01,2,2,"[8, 3]"
53,0.4259999990463257,2.3550024032592773,2,0.01,2,2,"[8, 3]"
54,0.4587000012397766,1.9780511856079102,2,0.01,2,2,"[8, 5]"
55,0.44040000438690186,2.209467887878418,2,0.01,2,2,"[8, 5]"
56,0.460999995470047,1.971790075302124,2,0.01,2,2,"[8, 5]"
57,0.4462999999523163,2.191882371902466,2,0.01,2,2,"[8, 5]"
58,0.5149000287055969,1.745801329612732,2,0.01,2,2,"[8, 3]"
59,0.4627000093460083,2.1256535053253174,2,0.01,2,2,"[8, 3]"
60,0.4788999855518341,1.868142008781433,2,0.01,2,2,"[8, 5]"
61,0.4627000093460083,2.085773229598999,2,0.01,2,2,"[8, 5]"
62,0.5372999906539917,1.5929025411605835,2,0.01,2,2,"[8, 3]"
63,0.48730000853538513,1.9314059019088745,2,0.01,2,2,"[8, 3]"
64,0.4934000074863434,1.8057441711425781,2,0.01,2,2,"[8, 5]"
65,0.47679999470710754,2.0181620121002197,2,0.01,2,2,"[8, 5]"
66,0.49540001153945923,1.7940826416015625,2,0.01,2,2,"[8, 5]"
67,0.4799000024795532,1.9991228580474854,2,0.01,2,2,"[8, 5]"
68,0.5644999742507935,1.437597632408142,2,0.01,2,2,"[8, 3]"
69,0.5194000005722046,1.747530221939087,2,0.01,2,2,"[8, 3]"
70,0.5123999714851379,1.7159507274627686,2,0.01,2,2,"[8, 5]"
71,0.4970000088214874,1.920467734336853,2,0.01,2,2,"[8, 5]"
72,0.5134999752044678,1.6988283395767212,2,0.01,2,2,"[8, 5]"
73,0.49880000948905945,1.896768569946289,2,0.01,2,2,"[8, 5]"
74,0.5936999917030334,1.2988234758377075,2,0.01,2,2,"[8, 3]"
75,0.5464000105857849,1.5776770114898682,2,0.01,2,2,"[8, 3]"
76,0.5317000150680542,1.6137722730636597,2,0.01,2,2,"[8, 5]"
77,0.5152000188827515,1.8141649961471558,2,0.01,2,2,"[8, 5]"
78,0.5328999757766724,1.5974336862564087,2,0.01,2,2,"[8, 5]"
79,0.5178999900817871,1.7928638458251953,2,0.01,2,2,"[8, 5]"
80,0.6230999827384949,1.17119300365448,2,0.01,2,2,"[8, 3]"
81,0.5759999752044678,1.426207423210144,2,0.01,2,2,"[8, 3]"
82,0.5514000058174133,1.5201340913772583,2,0.01,2,2,"[8, 5]"
83,0.5318999886512756,1.7175898551940918,2,0.01,2,2,"[8, 5]"
84,0.5543000102043152,1.5052546262741089,2,0.01,2,2,"[8, 5]"
85,0.534500002861023,1.6975915431976318,2,0.01,2,2,"[8, 5]"
86,0.6473000049591064,1.070739984512329,2,0.01,2,2,"[8, 3]"
87,0.6008999943733215,1.306350588798523,2,0.01,2,2,"[8, 3]"
88,0.5738999843597412,1.4345301389694214,2,0.01,2,2,"[8, 5]"
89,0.5509999990463257,1.6282519102096558,2,0.01,2,2,"[8, 5]"
90,0.5763000249862671,1.4208006858825684,2,0.01,2,2,"[8, 5]"
91,0.553600013256073,1.609302282333374,2,0.01,2,2,"[8, 5]"
92,0.580299973487854,1.4019917249679565,2,0.01,2,2,"[8, 5]"
93,0.5580000281333923,1.5859017372131348,2,0.01,2,2,"[8, 5]"
94,0.6766999959945679,0.9712636470794678,2,0.01,2,2,"[8, 3]"
95,0.6297000050544739,1.1905245780944824,2,0.01,2,2,"[8, 3]"
96,0.5946999788284302,1.5084174871444702,2,0.01,2,2,"[5, 8]"
97,0.5515000224113464,1.6780630350112915,2,0.01,2,2,"[5, 8]"
98,0.7346000075340271,1.0083235502243042,2,0.01,2,2,"[5, 3]"
99,0.6721000075340271,1.3215184211730957,2,0.01,2,2,"[5, 3]"
