family,dataset,method,method_variant,rank_assignment,alpha,runs,completed_runs,mean_peak_accuracy,min_peak_accuracy,max_peak_accuracy,mean_final_accuracy
mnist_family,kmnist,zeropadding,standard,correct,0.1,3,3,0.333166666667,0.2965,0.3965,0.3275
mnist_family,kmnist,zeropadding,standard,correct,0.4,3,3,0.412066666667,0.3639,0.4643,0.412066666667
mnist_family,kmnist,zeropadding,standard,correct,0.8,3,3,0.431066666667,0.3962,0.4589,0.431066666667
mnist_family,kmnist,zeropadding,standard,medium,0.1,3,3,0.332033333333,0.3058,0.3526,0.326833333333
mnist_family,kmnist,zeropadding,standard,medium,0.4,3,3,0.3784,0.3606,0.4032,0.3784
mnist_family,kmnist,zeropadding,standard,medium,0.8,3,3,0.4358,0.4117,0.4723,0.4358
mnist_family,kmnist,zeropadding,standard,mismatch,0.1,3,3,0.273,0.2347,0.3205,0.263033333333
mnist_family,kmnist,zeropadding,standard,mismatch,0.4,3,3,0.369266666667,0.3597,0.3836,0.369266666667
mnist_family,kmnist,zeropadding,standard,mismatch,0.8,3,3,0.414333333333,0.3852,0.4675,0.413466666667
mnist_family,mnist,flora,corrected,correct,0.4,1,1,0.6629,0.6629,0.6629,0.6617
mnist_family,mnist,flora,corrected,medium,0.4,1,1,0.6422,0.6422,0.6422,0.6422
mnist_family,mnist,flora,corrected,mismatch,0.4,1,1,0.6513,0.6513,0.6513,0.6459
mnist_family,mnist,flora,unspecified,correct,0.1,3,3,0.0893333333333,0.0887,0.0905,0.0893333333333
mnist_family,mnist,flora,unspecified,correct,0.4,4,4,0.097,0.0954,0.0983,0.097
mnist_family,mnist,flora,unspecified,correct,0.8,3,3,0.0922666666667,0.0916,0.0931,0.0922666666667
mnist_family,mnist,flora,unspecified,medium,0.1,3,3,0.0896333333333,0.0878,0.0915,0.0896333333333
mnist_family,mnist,flora,unspecified,medium,0.4,4,4,0.095875,0.0927,0.0986,0.095875
mnist_family,mnist,flora,unspecified,medium,0.8,3,3,0.0895,0.0873,0.0908,0.0895
mnist_family,mnist,flora,unspecified,mismatch,0.1,3,3,0.0893666666667,0.0891,0.0895,0.0893666666667
mnist_family,mnist,flora,unspecified,mismatch,0.4,4,4,0.09515,0.0939,0.096,0.09515
mnist_family,mnist,flora,unspecified,mismatch,0.8,3,3,0.0909666666667,0.0884,0.0923,0.0909666666667
mnist_family,mnist,rbla,standard,correct,0.1,3,3,0.616733333333,0.5806,0.6415,0.615033333333
mnist_family,mnist,rbla,standard,correct,0.4,3,3,0.795433333333,0.7628,0.8186,0.795333333333
mnist_family,mnist,rbla,standard,correct,0.8,3,3,0.8158,0.8004,0.8372,0.8158
mnist_family,mnist,rbla,standard,medium,0.1,3,3,0.6231,0.6104,0.6324,0.611766666667
mnist_family,mnist,rbla,standard,medium,0.4,3,3,0.785666666667,0.7405,0.8123,0.785666666667
mnist_family,mnist,rbla,standard,medium,0.8,3,3,0.7959,0.7617,0.8281,0.7959
mnist_family,mnist,rbla,standard,mismatch,0.1,3,3,0.563066666667,0.5091,0.6051,0.561833333333
mnist_family,mnist,rbla,standard,mismatch,0.4,3,3,0.750033333333,0.7317,0.7706,0.749966666667
mnist_family,mnist,rbla,standard,mismatch,0.8,3,3,0.796666666667,0.7709,0.8217,0.796666666667
mnist_family,mnist,rbla_plus,standard,correct,0.1,3,3,0.751033333333,0.7173,0.7733,0.751033333333
mnist_family,mnist,rbla_plus,standard,correct,0.4,3,3,0.820133333333,0.7959,0.841,0.820133333333
mnist_family,mnist,rbla_plus,standard,correct,0.8,3,3,0.813966666667,0.8006,0.8244,0.813966666667
mnist_family,mnist,rbla_plus,standard,medium,0.1,3,3,0.710533333333,0.6638,0.7438,0.710533333333
mnist_family,mnist,rbla_plus,standard,medium,0.4,3,3,0.814733333333,0.7756,0.838,0.814733333333
mnist_family,mnist,rbla_plus,standard,medium,0.8,3,3,0.805233333333,0.7958,0.8123,0.805233333333
mnist_family,mnist,rbla_plus,standard,mismatch,0.1,3,3,0.5544,0.5079,0.5808,0.5539
mnist_family,mnist,rbla_plus,standard,mismatch,0.4,3,3,0.775833333333,0.7532,0.8164,0.775833333333
mnist_family,mnist,rbla_plus,standard,mismatch,0.8,3,3,0.801866666667,0.7785,0.8193,0.801866666667
mnist_family,mnist,sp,standard,correct,0.1,3,3,0.430233333333,0.2651,0.5826,0.430233333333
mnist_family,mnist,sp,standard,correct,0.4,3,3,0.427566666667,0.1797,0.6211,0.427566666667
mnist_family,mnist,sp,standard,correct,0.8,3,3,0.185233333333,0.1572,0.2027,0.185066666667
