round,accuracy,loss,round_time,max_waiting_time,var_waiting_time,server_wait_time,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
40,0.38850000500679016,5.904577255249023,24.570970058441162,0.6319320201873779,0.03698976025898446,5.670717239379883,10,0.1,10,2
41,0.4212999939918518,5.531164646148682,9.825024604797363,0.5963015556335449,0.02595922887891447,4.869974136352539,10,0.1,10,2
42,0.5198000073432922,5.755807876586914,24.482656955718994,0.5693669319152832,0.02354666919313843,5.012160778045654,10,0.1,10,2
43,0.5023000240325928,6.52306604385376,8.590221405029297,0.6095321178436279,0.022330527700810877,3.4924800395965576,10,0.1,10,2
44,0.5094000101089478,5.666078567504883,24.772653341293335,0.20245909690856934,0.0033087803107542868,4.7540600299835205,10,0.1,10,2
45,0.5760999917984009,4.701801776885986,9.133562088012695,0.2783162593841553,0.005946163716760111,4.073671817779541,10,0.1,10,2
46,0.373199999332428,5.743276119232178,24.459956169128418,0.28475213050842285,0.009339854592274719,4.400815486907959,10,0.1,10,2
47,0.35359999537467957,6.042538166046143,10.247487545013428,0.5395240783691406,0.023790278692083573,4.486139297485352,10,0.1,10,2
48,0.3682999908924103,4.838931083679199,24.263797521591187,0.46436142921447754,0.01254944481258008,4.018944025039673,10,0.1,10,2
49,0.36959999799728394,4.599472522735596,9.530632019042969,0.2785656452178955,0.006057625844757695,4.472515821456909,10,0.1,10,2
50,0.36149999499320984,4.881371974945068,24.215068817138672,0.2736539840698242,0.005628106527938713,4.200252056121826,10,0.1,10,2
51,0.34130001068115234,5.044763088226318,10.028359651565552,0.20185136795043945,0.0032488647366085387,4.325218915939331,10,0.1,10,2
52,0.3650999963283539,4.640228748321533,24.46152114868164,0.20123720169067383,0.0030513017427375643,4.6673500537872314,10,0.1,10,2
53,0.3734000027179718,4.838764667510986,9.9190833568573,0.19483590126037598,0.002731321241706155,4.210110902786255,10,0.1,10,2
54,0.3758000135421753,5.838234901428223,24.54082942008972,0.11611390113830566,0.0008737332023110866,4.987231016159058,10,0.1,10,2
55,0.3718000054359436,6.49067497253418,9.906212568283081,0.13042116165161133,0.0014756228945088878,4.943073511123657,10,0.1,10,2
56,0.4000000059604645,4.790738582611084,24.10214877128601,0.6067378520965576,0.02705244383219053,3.9489850997924805,10,0.1,10,2
57,0.4250999987125397,4.881495475769043,8.571629524230957,0.3432934284210205,0.008852844717696939,3.6798171997070312,10,0.1,10,2
58,0.32839998602867126,4.642988681793213,24.241984367370605,0.1236107349395752,0.0012287678776289114,4.866557836532593,10,0.1,10,2
59,0.3249000012874603,4.6779584884643555,9.521436214447021,0.0897514820098877,0.0009797680007545752,4.00236964225769,10,0.1,10,2
60,0.2928999960422516,4.303129196166992,23.953550815582275,0.2770051956176758,0.006374699527193571,4.408894300460815,10,0.1,10,2
61,0.3357999920845032,4.367910861968994,9.86939024925232,0.2700815200805664,0.005722013575311847,4.890642881393433,10,0.1,10,2
62,0.5838000178337097,3.669926881790161,24.317944288253784,0.0696420669555664,0.00046017994652004286,4.613277196884155,10,0.1,10,2
63,0.5543000102043152,4.075418949127197,9.325691938400269,0.40505027770996094,0.015559067181903285,3.576110363006592,10,0.1,10,2
64,0.5103999972343445,4.311758041381836,25.29496717453003,0.43207740783691406,0.01122083405452031,4.488741397857666,10,0.1,10,2
65,0.44769999384880066,4.156862258911133,9.652916431427002,0.08394956588745117,0.0006048710875967344,4.1294403076171875,10,0.1,10,2
66,0.4839000105857849,3.2670741081237793,24.84233856201172,0.173753023147583,0.0018171324621789608,5.023992538452148,10,0.1,10,2
67,0.484499990940094,3.4892308712005615,10.184439897537231,0.31189632415771484,0.010124847782527126,4.451787948608398,10,0.1,10,2
68,0.30550000071525574,4.158492088317871,24.392757415771484,0.3681619167327881,0.008903370363279917,4.552776336669922,10,0.1,10,2
69,0.31130000948905945,4.394303798675537,9.072705745697021,0.12596631050109863,0.0011538965638857237,4.224111318588257,10,0.1,10,2
70,0.2662000060081482,6.167742729187012,24.317044258117676,0.13357305526733398,0.0019230905539870946,4.160432815551758,10,0.1,10,2
71,0.2655999958515167,6.937403678894043,9.217247486114502,0.08424973487854004,0.0006478207637110246,4.300945043563843,10,0.1,10,2
72,0.31130000948905945,5.806626796722412,23.407511472702026,0.33739542961120605,0.007596059788706954,3.367884874343872,10,0.1,10,2
73,0.33309999108314514,6.133541107177734,10.040281534194946,0.36081933975219727,0.010326918266496817,4.343666076660156,10,0.1,10,2
74,0.40709999203681946,4.776923656463623,24.332638025283813,0.11772823333740234,0.0009678806112793836,4.025390625,10,0.1,10,2
75,0.46970000863075256,4.59365177154541,9.88025426864624,0.4353210926055908,0.012446507910593142,4.415699243545532,10,0.1,10,2
