dataset,model,layer_or_aggregate,seed,round,R,r,normalized_rank,sp_plus_dense_difference,gap,analytic_optimal_error,experiment_type,checkpoint,d_out,d_in,spectrum,method,relative_error,numerical_checks_passed
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,4,5.0000000000000000e-01,1.9775613821892526e-15,5.8739764724736754e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.0117947994743637e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,5,6.2500000000000000e-01,1.9836498919036912e-15,5.3667499948050212e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,5.9317160109440048e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,5,6.2500000000000000e-01,1.9836498919036912e-15,5.3667499948050212e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.6496601613898349e-02,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,5,6.2500000000000000e-01,1.9836498919036912e-15,5.3667499948050212e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,5.6496601613898349e-02,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,6,7.5000000000000000e-01,1.9766014095041461e-15,5.2750773468980894e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,5.5824915600000979e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,6,7.5000000000000000e-01,1.9766014095041461e-15,5.2750773468980894e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.0741421310200859e-02,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,6,7.5000000000000000e-01,1.9766014095041461e-15,5.2750773468980894e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,3.0741421310200863e-02,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,7,8.7500000000000000e-01,1.9765115727258710e-15,4.7451583634541028e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,4.8963224603699085e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,7,8.7500000000000000e-01,1.9765115727258710e-15,4.7451583634541028e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.5116409691580561e-02,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,7,8.7500000000000000e-01,1.9765115727258710e-15,4.7451583634541028e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.5116409691580561e-02,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,8,1.0000000000000000e+00,1.9748168193680552e-15,-1.8177631661907173e-15,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,0.0000000000000000e+00,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,8,1.0000000000000000e+00,1.9748168193680552e-15,-1.8177631661907173e-15,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.8177631661907173e-15,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,8,1.0000000000000000e+00,1.9748168193680552e-15,-1.8177631661907173e-15,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,5.9906886068471736e-16,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,1,1.2500000000000000e-01,1.0742885779303891e-15,2.4140992401271810e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,8.0606352163924666e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,1,1.2500000000000000e-01,1.0742885779303891e-15,2.4140992401271810e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.6465359762652856e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,1,1.2500000000000000e-01,1.0742885779303891e-15,2.4140992401271810e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,5.6465359762652856e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,2,2.5000000000000000e-01,1.0608763371242859e-15,4.2755037630962223e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,7.4630620908850720e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,2,2.5000000000000000e-01,1.0608763371242859e-15,4.2755037630962223e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.1875583277888497e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,2,2.5000000000000000e-01,1.0608763371242859e-15,4.2755037630962223e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,3.1875583277888497e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,3,3.7500000000000000e-01,1.0781821985536615e-15,5.1136658285043635e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,6.9117125002042623e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,3,3.7500000000000000e-01,1.0781821985536615e-15,5.1136658285043635e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.7980466716998986e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,3,3.7500000000000000e-01,1.0781821985536615e-15,5.1136658285043635e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.7980466716998983e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,4,5.0000000000000000e-01,1.0834975800506843e-15,5.3077813155826148e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,6.3195761150569785e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,4,5.0000000000000000e-01,1.0834975800506843e-15,5.3077813155826148e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.0117947994743640e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,4,5.0000000000000000e-01,1.0834975800506843e-15,5.3077813155826148e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.0117947994743638e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,5,6.2500000000000000e-01,1.3061890088766708e-15,4.0710670574944557e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,4.6360330736334393e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,5,6.2500000000000000e-01,1.3061890088766708e-15,4.0710670574944557e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.6496601613898356e-02,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,5,6.2500000000000000e-01,1.3061890088766708e-15,4.0710670574944557e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,5.6496601613898356e-02,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,6,7.5000000000000000e-01,1.1710498350345288e-15,3.7102980843200323e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,4.0177122974220408e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,6,7.5000000000000000e-01,1.1710498350345288e-15,3.7102980843200323e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.0741421310200870e-02,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,6,7.5000000000000000e-01,1.1710498350345288e-15,3.7102980843200323e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,3.0741421310200870e-02,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,7,8.7500000000000000e-01,1.1744773265740930e-15,3.2628682608676463e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,3.4140323577834519e-01,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,7,8.7500000000000000e-01,1.1744773265740930e-15,3.2628682608676463e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.5116409691580564e-02,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,7,8.7500000000000000e-01,1.1744773265740930e-15,3.2628682608676463e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.5116409691580564e-02,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,8,1.0000000000000000e+00,1.1745323963743506e-15,-1.0805326032708577e-15,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,0.0000000000000000e+00,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,8,1.0000000000000000e+00,1.1745323963743506e-15,-1.0805326032708577e-15,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.0805326032708577e-15,True
synthetic,synthetic_low_rank_update,aggregate,44,-1,8,8,1.0000000000000000e+00,1.1745323963743506e-15,-1.0805326032708577e-15,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,6.3031508040090518e-16,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,1,1.2500000000000000e-01,1.1887201466117157e-15,3.9722849570616514e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,9.6188209333269370e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,1,1.2500000000000000e-01,1.1887201466117157e-15,3.9722849570616514e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.6465359762652856e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,1,1.2500000000000000e-01,1.1887201466117157e-15,3.9722849570616514e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,5.6465359762652867e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,2,2.5000000000000000e-01,1.1318058529098023e-15,5.8170193374972212e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,9.0045776652860732e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,2,2.5000000000000000e-01,1.1318058529098023e-15,5.8170193374972212e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.1875583277888520e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,2,2.5000000000000000e-01,1.1318058529098023e-15,5.8170193374972212e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,3.1875583277888514e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,3,3.7500000000000000e-01,1.1093836501458590e-15,6.9097905856638109e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,8.7078372573637097e-01,True
