dataset,model,layer,checkpoint,seed,trial,d_out,d_in,R,r,alpha,target_condition_number,actual_condition_number,condition_relative_error,smallest_gauge_singular_value,b_gauge_frobenius_norm,a_gauge_frobenius_norm,full_update_error,dense_optimal_error,sp_plus_dense_error_gap,compact_full_reconstruction_error,compact_path_no_dense_intermediate,gauge_construction,method,broadcast_error,excess_error,numerical_checks_passed
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,5.0000000000000000e+00,4.9999999999999973e+00,5.3290705182007512e-16,4.4721359549995832e-01,2.2115649662120767e+00,1.9707643129104182e+00,3.9653838135829914e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.6934750098832093e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,9.9562983033453634e-01,8.7801013999039168e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,5.0000000000000000e+00,4.9999999999999973e+00,5.3290705182007512e-16,4.4721359549995832e-01,2.2115649662120767e+00,1.9707643129104182e+00,3.9653838135829914e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.6934750098832093e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,7.5000000000000000e+00,7.4999999999999947e+00,7.1054273576010023e-16,3.6514837167011099e-01,2.5148656489732137e+00,2.1944586246615621e+00,4.3735794494157568e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.0731637974550964e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,1.1862160890917330e+00,1.0685963987475884e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,7.5000000000000000e+00,7.4999999999999947e+00,7.1054273576010023e-16,3.6514837167011099e-01,2.5148656489732137e+00,2.1944586246615621e+00,4.3735794494157568e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.0731637974550964e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,3.1622776601683794e-01,2.7774125143499702e+00,2.3922152304643087e+00,5.1958229847638156e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.4514103707373366e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,1.3761967457477156e+00,1.2585770554035709e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,3.1622776601683794e-01,2.7774125143499702e+00,2.3922152304643087e+00,5.1958229847638156e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.4514103707373366e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000011e+00,1.1102230246251565e-15,9.9999999999999967e-01,1.6457339059369434e+00,1.6457339059369438e+00,3.3005369447519198e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.1725689560381057e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,5.6582846506075091e-01,4.4820877471660625e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000011e+00,1.1102230246251565e-15,9.9999999999999967e-01,1.6457339059369434e+00,1.6457339059369438e+00,3.3005369447519198e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.1725689560381057e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,1.5000000000000000e+00,1.4999999999999996e+00,2.9605947323337506e-16,8.1649658092772637e-01,1.6638032215759375e+00,1.6726708454870716e+00,3.4730888918941536e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.0159823463092405e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,5.6949854212072670e-01,4.5187885177658205e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,1.5000000000000000e+00,1.4999999999999996e+00,2.9605947323337506e-16,8.1649658092772637e-01,1.6638032215759375e+00,1.6726708454870716e+00,3.4730888918941536e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.0159823463092405e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
