Wall time,Step,Value
1763785641.667249,405099,1320.1300048828125
1763785655.7124915,406191,1318.93994140625
1763785703.6405158,409943,1362.31005859375
1763785707.275669,410233,1363.3399658203125
1763785790.3008866,416759,1408.5
1763785829.1006997,419988,1453.3800048828125
1763785936.3286524,428606,1433.0
1763785938.877932,428803,1421.219970703125
1763785944.8248107,429262,1419.22998046875
1763786101.94116,441588,1435.800048828125
1763786131.9520931,443859,1428.93994140625
1763786156.5285819,445975,1437.0699462890625
1763786166.5866597,446756,1439.9100341796875
1763786172.0542533,447173,1445.27001953125
1763786192.7364943,448771,1455.81005859375
1763786284.4222636,456147,1450.3399658203125
1763786286.2071934,456288,1447.6800537109375
1763786328.2773068,459591,1490.449951171875
1763786338.1120267,460366,1492.800048828125
1763786355.256548,461928,1505.1700439453125
1763786411.0488122,466049,1539.56005859375
1763786434.5630236,467876,1555.739990234375
1763786469.444102,470500,1581.0899658203125
1763786529.1707842,474952,1601.5400390625
1763786542.4582682,476030,1594.9300537109375
1763786547.905656,476470,1573.2900390625
1763786644.3116457,483916,1562.72998046875
1763786733.786016,490913,1569.199951171875
1763786759.2270997,493191,1592.469970703125
1763786836.3259902,498890,1618.510009765625
1763786860.1950805,500713,1611.6600341796875
1763786863.087479,500913,1609.949951171875
1763786909.1636996,504614,1590.1300048828125
1763786939.7652466,506741,1594.780029296875
1763786958.339063,508297,1618.3399658203125
1763787053.0115805,515602,1636.3399658203125
1763787088.9013662,518660,1667.43994140625
1763787113.708933,520595,1691.739990234375
1763787170.0265667,524939,1708.3299560546875
1763787206.072721,527594,1736.1800537109375
1763787264.5887656,532124,1714.8499755859375
1763787337.3749673,538327,1782.949951171875
1763787352.4215376,539508,1786.239990234375
1763787413.0221918,544210,1815.0899658203125
1763787566.0671182,556214,1876.27001953125
1763787571.8002563,556668,1891.5799560546875
1763787577.8829412,557234,1901.77001953125
1763787659.0298557,563153,1868.5899658203125
1763787724.3497512,568210,1830.6600341796875
1763787962.9497457,586323,1858.8199462890625
1763788001.252615,589352,1848.1700439453125
1763788036.7453222,592216,1845.27001953125
1763788066.4190903,594616,1863.18994140625
1763788165.7289875,602325,1862.0699462890625
1763788175.7170951,603111,1862.800048828125
1763788176.901704,603203,1865.27001953125
1763788426.3087595,622364,1963.010009765625
1763788463.084409,625022,1970.280029296875
1763788566.5530531,633499,1934.030029296875
1763788635.0993655,639234,2001.6199951171875
1763788737.521747,646909,2068.580078125
1763788754.133746,648072,2063.389892578125
1763788803.234126,651874,2095.2099609375
1763788819.8356519,653240,2121.889892578125
1763788974.7715073,665692,2222.669921875
1763788996.5675242,667378,2237.070068359375
1763789000.52937,667682,2202.8798828125
1763789163.5032146,680802,2295.139892578125
1763789317.5209167,693017,2475.969970703125
1763789408.9404316,700075,2486.77001953125
1763789453.6351469,703498,2466.97998046875
1763789484.7911146,705826,2468.909912109375
1763789525.9951882,709143,2496.159912109375
1763789564.7230809,712098,2530.93994140625
1763789701.3099906,722032,2608.989990234375
1763789841.6276581,733379,2699.2900390625
1763789846.366457,733751,2707.639892578125
1763789900.3121107,737694,2745.300048828125
1763789917.3466825,739225,2752.72998046875
1763790093.7800229,753745,2869.080078125
1763790175.1821084,760513,2939.280029296875
1763790195.7805285,762162,2929.85009765625
1763790211.8495917,763301,2925.75
1763790227.626774,764531,2942.719970703125
1763790232.5281682,764916,2946.679931640625
1763790432.5629394,780610,3118.6298828125
1763790534.7199576,788684,3236.179931640625
1763790758.5790544,805952,3369.199951171875
1763790830.1493878,811304,3394.909912109375
1763790961.8397799,821319,3426.06005859375
1763790976.35044,822450,3426.06005859375
1763791133.977789,834521,3498.469970703125
1763791384.687492,854824,3611.39990234375
1763791412.8974466,857041,3628.010009765625
1763791512.60696,864658,3712.590087890625
1763791682.825692,878160,3756.949951171875
1763791745.2241132,882952,3758.340087890625
1763791977.9151108,901181,3857.739990234375
1763792073.307108,908798,3968.949951171875
1763792206.7976868,920012,4099.7099609375
1763792226.8210535,921611,4107.669921875
1763792313.2119157,928545,4157.64013671875
1763792387.6228752,934707,4224.6201171875
1763792490.3831286,942525,4370.0498046875
1763792566.983548,948153,4432.60009765625
1763792611.7186017,951287,4443.35009765625
1763792860.2809534,969910,4743.35009765625
1763793038.4470298,983479,4883.47021484375
1763793078.6052988,986574,4920.93994140625
1763793368.3845804,1010864,5137.68017578125
1763793397.825546,1013256,5192.08984375
1763793467.8723397,1018874,5209.60986328125
1763793519.2859044,1023051,5234.3798828125
1763793741.356642,1041217,5339.52978515625
1763793972.5565135,1059078,5404.759765625
1763794236.1061773,1080765,5426.97021484375
1763794475.91458,1099959,5437.080078125
1763794507.515203,1102622,5433.35986328125
1763794529.9882517,1104481,5452.41015625
1763794574.5554981,1107859,5468.83984375
1763794608.7091615,1110673,5455.0400390625
1763794856.6844685,1130237,5435.77978515625
1763795004.8984568,1141592,5468.06982421875
1763795206.9497564,1157546,5532.58984375
1763795641.7516065,1192554,5536.7998046875
1763795993.4722388,1220833,5636.18994140625
1763796052.950563,1225544,5648.830078125
1763796087.852108,1228135,5659.330078125
1763796161.0996988,1234455,5664.33984375
1763796190.0764973,1237097,5647.35009765625
1763796332.2528877,1249116,5653.22021484375
1763796428.1589506,1256843,5627.93017578125
1763796610.0395203,1271830,5671.72998046875
1763796715.3318772,1281002,5635.02001953125
1763796889.8670797,1296064,5717.2099609375
1763796951.7824337,1301094,5695.259765625
1763797206.072628,1322126,5786.009765625
1763797269.669073,1327915,5854.66015625
1763797293.8841221,1330020,5859.18017578125
1763797422.7638824,1341516,5840.22021484375
1763797476.8713815,1346420,5853.2001953125
1763797847.9496899,1378626,5815.419921875
1763797928.6382291,1384818,5835.7900390625
1763798022.2731164,1392998,5886.68994140625
1763798631.8452332,1444619,5902.64990234375
1763798743.3474045,1453368,5905.14990234375
1763798834.0750842,1461712,5890.81005859375
1763798881.627513,1465763,5821.35986328125
1763799046.2306519,1479371,5841.740234375
1763799122.2954695,1486082,5848.6201171875
1763799187.5658617,1491628,5788.6298828125
1763799485.1153228,1516101,5749.580078125
1763799637.3697357,1528432,5763.2900390625
1763799721.276646,1534747,5764.3701171875
1763799863.8609462,1546070,5788.7099609375
1763799879.4627533,1547215,5777.8701171875
1763800039.9978397,1560536,5781.97021484375
1763800192.2089443,1573475,5783.240234375
1763800223.6221592,1576000,5764.43994140625
1763801062.3169281,1645035,5908.43017578125
1763801145.8951972,1651129,5993.25
1763801171.0015805,1653409,6015.0498046875
1763801320.4946802,1665591,6057.9599609375
1763802369.9238021,1752718,6087.0400390625
1763802515.0068586,1765879,6088.91015625
1763802533.0133407,1767477,6080.60986328125
1763802551.6360712,1769106,6071.35986328125
1763802577.5689604,1771361,6044.259765625
1763802617.774822,1775002,6051.5
1763802630.0644596,1776045,6043.56005859375
1763803035.6284745,1806518,6068.2099609375
1763803130.041336,1812960,6071.68994140625
1763803197.0051425,1817980,6092.91015625
1763803295.5027375,1826699,6147.4599609375
1763803592.5114965,1851301,6197.4501953125
1763803630.9242082,1854607,6145.6298828125
1763803639.593472,1855422,6147.22021484375
1763803867.5500069,1873333,6110.89013671875
1763804082.718448,1891510,6020.490234375
1763804167.5736957,1898411,6029.4599609375
1763804219.4868808,1902921,6011.18994140625
1763804345.371702,1913833,6044.5400390625
1763804376.17519,1916531,6051.490234375
1763804526.0456338,1928454,6091.64990234375
1763804580.3618665,1932959,6128.81982421875
1763804771.5067,1948435,6162.02001953125
1763805151.3492575,1979769,6134.14990234375
1763805273.598184,1990356,6145.509765625
1763805489.2305944,2009357,6158.14990234375
1763805588.105724,2018112,6183.740234375
1763805663.3399506,2024819,6193.66015625
1763805730.1676617,2030071,6191.0400390625
1763805757.4743218,2032206,6212.52978515625
1763806046.7290666,2055252,6292.27001953125
1763806092.540884,2058836,6288.8701171875
1763806624.9182584,2104981,6276.77001953125
1763806704.255915,2111443,6286.990234375
1763806962.2513144,2131583,6302.43017578125
1763806979.1895602,2133026,6302.91015625
1763807248.0072472,2154389,6310.330078125
1763807256.8574684,2155162,6321.31005859375
1763807541.4737978,2180096,6355.66015625
1763807565.0149348,2182328,6372.240234375
1763807602.6447568,2185597,6420.27001953125
1763807731.0700786,2196609,6341.240234375
1763807920.816665,2213392,6503.740234375
1763808275.9689338,2244085,6458.2001953125
1763808321.2423303,2247811,6487.259765625
1763808485.8674269,2261590,6448.669921875
1763808531.7785952,2265115,6429.27001953125
1763808566.63429,2267905,6471.02001953125
1763808600.1245017,2270533,6464.27001953125
1763809035.2834623,2307918,6521.85009765625
1763809311.7056587,2332217,6363.7998046875
1763809416.743702,2341594,6372.330078125
1763809517.2073286,2350597,6389.75
1763809579.863063,2355987,6377.64013671875
1763809682.5923367,2365106,6289.81982421875
1763809699.2519813,2366678,6305.10986328125
1763809701.4747071,2366876,6279.16015625
1763809856.1621366,2380139,6321.91015625
1763810235.9655678,2412399,6277.75
1763810310.005868,2417944,6295.56005859375
1763810592.8115263,2440203,6333.85986328125
1763810779.6883116,2455194,6401.31005859375
1763810838.6210976,2460379,6410.1298828125
1763810843.633072,2460815,6403.5400390625
1763810984.380961,2472231,6445.25
1763811077.5861652,2480164,6474.75
1763811120.4676623,2484040,6501.5498046875
1763811268.5800447,2496689,6553.77978515625
1763811312.7721162,2500717,6550.06982421875
1763811418.1565986,2510074,6543.72021484375
1763811437.2062223,2511909,6543.72021484375
1763811534.7398326,2520563,6610.0498046875
1763811630.1008008,2528421,6633.919921875
1763811673.407992,2531742,6665.0400390625
1763811741.3365505,2536978,6706.22998046875
1763812179.8203156,2575197,6476.89013671875
1763812367.5288572,2591102,6512.4501953125
1763812636.7227623,2614784,6404.10986328125
1763812940.446917,2641063,6277.39990234375
1763813270.674936,2667980,6264.9501953125
1763813639.6733015,2700884,6319.43017578125
1763813693.9832177,2705865,6324.02001953125
1763813886.4530914,2723032,6413.83984375
1763814015.4085126,2734281,6588.89990234375
1763814164.4166462,2747842,6584.10986328125
1763814200.4161415,2750982,6590.8798828125
1763814235.384661,2753872,6608.81005859375
1763814241.1809132,2754423,6602.7900390625
1763814878.0533674,2811249,6733.75
1763814956.7431667,2818395,6726.97021484375
1763815012.2776806,2823156,6730.66015625
1763815096.3732224,2831020,6711.60009765625
1763815294.3201234,2848000,6695.330078125
1763815331.4840982,2850958,6695.31982421875
1763815353.422958,2852639,6695.31982421875
1763815443.097566,2859980,6598.93017578125
1763815785.7150972,2887626,6664.490234375
1763816166.1026154,2919512,6696.8701171875
1763816217.9809418,2924155,6643.419921875
1763816513.0968804,2949300,6593.16015625
1763816539.496228,2951790,6644.25
1763816647.3332615,2960756,6642.31005859375
1763817067.7087991,2996253,6728.580078125
1763817131.6374125,3001901,6745.66015625
1763817364.4155402,3023429,6743.43994140625
1763817611.6283956,3045716,6576.60986328125
1763817716.3714366,3054808,6497.52001953125
1763818113.3094723,3089300,6451.02978515625
1763818174.2927551,3094729,6461.919921875
1763818583.4327307,3130570,6509.68994140625
1763818982.1967115,3165508,6663.14013671875
1763819407.3529906,3202981,6739.16015625
1763819580.0594468,3218128,6798.7998046875
1763819831.3538191,3239092,6834.56005859375
1763820030.2185178,3256697,6781.35009765625
1763820039.3342938,3257555,6819.35009765625
1763820358.7313936,3286303,6881.08984375
1763820706.7180731,3318092,6819.830078125
1763820981.9429965,3343389,6875.1201171875
1763821250.0719082,3368286,6891.35986328125
1763821292.6137593,3372058,6844.89990234375
1763821364.5632899,3378800,6884.0498046875
1763821986.9715238,3428931,7005.580078125
1763822076.5943506,3437311,6909.72998046875
1763822130.091991,3442010,6899.740234375
1763822210.3736486,3449265,6821.8701171875
1763822300.1679027,3456280,6781.5
1763822424.0383017,3466664,6731.009765625
1763822449.8154697,3468843,6746.8701171875
1763822857.771081,3502340,6683.8701171875
1763823011.1426299,3514500,6668.77001953125
1763823273.9536734,3536273,6676.080078125
1763823391.1180892,3546213,6717.52978515625
1763823587.1101737,3563221,6780.33984375
1763823610.2899916,3565189,6759.330078125
1763823755.0156364,3577052,6868.64013671875
1763823930.927427,3592040,6770.66015625
1763824017.0999763,3599800,6851.18994140625
1763824145.2914062,3611603,6841.2998046875
1763824292.903871,3624164,6867.75
1763824728.247512,3662200,6971.85009765625
1763824777.8153985,3666733,7031.22998046875
1763824834.0055003,3671212,7018.31005859375
1763825099.3565602,3694056,6999.259765625
1763825728.583542,3749317,6857.75
1763825779.3874059,3753549,6855.81982421875
1763826025.668014,3774639,6815.330078125
1763826321.4912937,3800783,6945.02978515625
1763826580.9561687,3823958,6898.35986328125
1763826637.9730663,3828979,6899.43994140625
1763826701.9901903,3834979,6902.8798828125
1763826757.264536,3839620,6843.2001953125
1763827017.35231,3863262,6667.52001953125
1763827030.3639271,3864533,6667.52001953125
1763827241.9362166,3883875,6497.8798828125
1763827291.3079164,3887833,6488.18994140625
1763827422.4752364,3899444,6560.0400390625
1763827831.966479,3934683,6662.43994140625
1763827873.6355243,3937881,6653.64990234375
1763827967.8911662,3946029,6606.58984375
1763828287.9928322,3972805,6716.22021484375
1763828425.227954,3985152,6659.06982421875
1763828564.6858723,3996312,6645.7099609375
1763828705.1855574,4008029,6634.6298828125
1763828888.8715131,4023606,6686.60009765625
1763828961.5530827,4029813,6687.0400390625
1763829279.7055829,4058374,6930.1298828125
1763829385.9937408,4067440,7002.14990234375
1763829416.2844012,4069924,7007.93017578125
1763829484.0631006,4075712,6972.740234375
1763829625.4012399,4088819,7007.56005859375
1763829909.3698142,4113106,7044.0498046875
1763830230.8243797,4140141,6956.16015625
1763830300.6524603,4145958,6936.97998046875
1763830446.8925762,4158471,6951.2001953125
1763830525.6678674,4165720,6936.8701171875
1763830600.8615644,4172669,6921.7001953125
1763830643.7666101,4176424,6927.7001953125
1763831007.4775982,4207220,6968.89013671875
1763831294.8358374,4232655,6955.27001953125
1763831346.961035,4237117,6857.1201171875
1763831429.2321744,4243740,6857.39990234375
1763831663.7061312,4264326,6752.509765625
1763831703.1890736,4267708,6759.7900390625
1763831925.8906887,4288382,6787.990234375
1763831941.8328078,4289919,6762.83984375
1763832047.587403,4299636,6773.830078125
1763832065.6362567,4301433,6790.83984375
1763832090.8960204,4304002,6781.669921875
1763832237.4422545,4317540,6672.08984375
1763832266.8703883,4320168,6647.8701171875
1763832294.745805,4322719,6632.169921875
1763832588.611246,4349738,6548.81005859375
1763832718.1523914,4361428,6429.93017578125
1763832751.639935,4364568,6427.39013671875
1763833005.590755,4387224,6423.39990234375
1763833142.1247525,4399962,6372.18994140625
1763833186.1043115,4403424,6383.7998046875
1763833287.8139338,4411593,6380.0400390625
1763833504.2527432,4429901,6491.31005859375
1763833584.7705193,4436392,6477.02001953125
1763833686.9831522,4445847,6459.919921875
1763833764.681212,4452613,6478.81005859375
1763833945.274991,4468851,6428.580078125
1763834342.4064057,4502518,6574.14013671875
1763834698.6987069,4532886,6632.2099609375
1763834752.4329822,4537830,6619.8798828125
1763834769.425209,4539253,6621.97021484375
1763834883.3033357,4549701,6650.6201171875
1763835137.581317,4570674,6597.10009765625
1763835303.597134,4586149,6629.509765625
1763835475.2887957,4601311,6595.490234375
1763835594.3833206,4610782,6610.02001953125
1763835705.5622106,4620501,6700.0400390625
1763836092.764241,4652711,6801.6201171875
1763836979.3815923,4730258,6966.18017578125
1763837025.685885,4734144,6941.41015625
1763837201.207995,4749971,6893.0
1763837412.7202728,4768615,6833.60986328125
1763837525.7091367,4778880,6777.10986328125
1763837532.7360747,4779540,6751.41015625
1763837587.971749,4784350,6678.0498046875
1763837710.0967677,4795252,6535.10009765625
1763837865.7356987,4808835,6571.580078125
1763837885.4150572,4810582,6573.72021484375
1763837895.2547987,4811461,6588.52978515625
1763837999.648554,4821196,6571.9501953125
1763838289.973319,4846881,6403.97021484375
1763838646.7454417,4878733,6363.18017578125
